文件名,预测类别,置信度,Top2差距,分歧度,风险等级,Top1,Top2,Top3,审核结果,备注
saltandpepper_Screen Shot 2018-06-08 at 2.37.13 PM.jpg,病变,33.9%,0.059,0.60,HIGH,病变,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.30.51 PM.jpg,裂果,33.8%,0.011,0.60,HIGH,裂果,碰伤,合格,,
Screen Shot 2018-06-07 at 2.58.30 PM.jpg,碰伤,33.7%,0.112,0.60,HIGH,碰伤,黑斑,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.39.35 PM.jpg,碰伤,33.7%,0.091,0.60,HIGH,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-07 at 2.54.08 PM.jpg,虫伤,33.5%,0.089,0.60,HIGH,虫伤,碰伤,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 3.00.46 PM.jpg,裂果,33.5%,0.009,0.60,HIGH,裂果,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.51.55 PM.jpg,褶皱,33.5%,0.091,0.60,HIGH,褶皱,碰伤,黑斑,,
Screen Shot 2018-06-07 at 2.53.33 PM.jpg,黑斑,33.3%,0.115,0.40,HIGH,黑斑,裂果,腐烂,,
Screen Shot 2018-06-08 at 2.51.09 PM.jpg,褶皱,33.2%,0.149,0.40,HIGH,褶皱,合格,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.25.43 PM.jpg,褶皱,33.0%,0.104,0.40,HIGH,褶皱,合格,虫伤,,
Screen Shot 2018-06-08 at 2.29.33 PM.jpg,碰伤,32.9%,0.080,0.60,HIGH,碰伤,褶皱,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.36.23 PM.jpg,腐烂,32.9%,0.151,0.40,HIGH,腐烂,碰伤,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 3.04.58 PM.jpg,虫伤,32.8%,0.094,0.60,HIGH,虫伤,碰伤,黑斑,,
Screen Shot 2018-06-07 at 2.53.20 PM.jpg,虫伤,32.7%,0.073,0.60,HIGH,虫伤,裂果,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.42.25 PM.jpg,合格,32.5%,0.077,0.60,HIGH,合格,碰伤,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.51.09 PM.jpg,褶皱,32.5%,0.094,0.60,HIGH,褶皱,腐烂,合格,,
Screen Shot 2018-06-08 at 2.39.35 PM.jpg,虫伤,32.3%,0.082,0.60,HIGH,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.28.23 PM.jpg,腐烂,32.3%,0.021,0.40,HIGH,腐烂,碰伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 3.03.38 PM.jpg,腐烂,32.0%,0.097,0.40,HIGH,腐烂,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.04.35 PM.jpg,病变,31.9%,0.036,0.60,HIGH,病变,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.17.25 PM.jpg,褶皱,31.9%,0.022,0.60,HIGH,褶皱,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.27.15 PM.jpg,褶皱,31.8%,0.078,0.40,HIGH,褶皱,合格,碰伤,,
Screen Shot 2018-06-08 at 2.44.54 PM.jpg,虫伤,31.8%,0.012,0.60,HIGH,虫伤,腐烂,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.41.32 PM.jpg,合格,31.8%,0.002,0.60,HIGH,合格,碰伤,褶皱,,
Screen Shot 2018-06-07 at 2.16.54 PM.jpg,虫伤,31.7%,0.160,0.60,HIGH,虫伤,碰伤,裂果,,
Screen Shot 2018-06-07 at 2_虫伤_pred_褶皱.jpg,虫伤,31.7%,0.160,0.60,HIGH,虫伤,碰伤,裂果,,
vertical_flip_Screen Shot 2018-06-07 at 2.42.58 PM.jpg,碰伤,31.5%,0.032,0.60,HIGH,碰伤,黑斑,虫伤,,
Screen Shot 2018-06-07 at 3.03.21 PM.jpg,碰伤,31.1%,0.136,0.60,HIGH,碰伤,裂果,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.36.43 PM.jpg,碰伤,31.0%,0.002,0.40,HIGH,碰伤,合格,虫伤,,
Screen Shot 2018-06-07 at 2.58.57 PM.jpg,腐烂,30.8%,0.021,0.60,HIGH,腐烂,褶皱,虫伤,,
Screen Shot 2018-06-07 at 3.17.25 PM.jpg,合格,30.8%,0.005,0.60,HIGH,合格,褶皱,虫伤,,
Screen Shot 2018-06-08 at 2.37.13 PM.jpg,病变,30.7%,0.059,0.60,HIGH,病变,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.23.48 PM.jpg,合格,30.5%,0.023,0.40,HIGH,合格,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.58.30 PM.jpg,碰伤,30.3%,0.108,0.60,HIGH,碰伤,虫伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.29.33 PM.jpg,碰伤,30.3%,0.070,0.60,HIGH,碰伤,褶皱,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.31.23 PM.jpg,虫伤,30.1%,0.069,0.60,HIGH,虫伤,碰伤,黑斑,,
vertical_flip_Screen Shot 2018-06-08 at 2.30.03 PM.jpg,虫伤,30.0%,0.114,0.60,HIGH,虫伤,裂果,腐烂,,
Screen Shot 2018-06-08 at 2.48.52 PM.jpg,褶皱,29.6%,0.031,0.60,HIGH,褶皱,裂果,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.20.04 PM.jpg,碰伤,29.4%,0.122,0.60,HIGH,碰伤,腐烂,病变,,
vertical_flip_Screen Shot 2018-06-08 at 2.46.25 PM.jpg,腐烂,29.4%,0.003,0.40,HIGH,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-07 at 2.46.43 PM.jpg,褶皱,28.7%,0.046,0.60,HIGH,褶皱,黑斑,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.56.57 PM.jpg,碰伤,28.6%,0.056,0.60,HIGH,碰伤,裂果,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 2.46.43 PM.jpg,黑斑,28.6%,0.046,0.60,HIGH,黑斑,褶皱,虫伤,,
Screen Shot 2018-06-08 at 2.31.23 PM.jpg,虫伤,28.5%,0.036,0.40,HIGH,虫伤,碰伤,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.30.26 PM.jpg,裂果,28.4%,0.080,0.40,HIGH,裂果,合格,碰伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.58.57 PM.jpg,褶皱,27.8%,0.039,0.60,HIGH,褶皱,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.36.31 PM.jpg,腐烂,27.4%,0.030,0.60,HIGH,腐烂,碰伤,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.30.40 PM.jpg,碰伤,27.0%,0.027,0.60,HIGH,碰伤,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.43.26 PM.jpg,腐烂,26.7%,0.050,0.60,HIGH,腐烂,黑斑,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.16.54 PM.jpg,虫伤,26.6%,0.002,0.60,HIGH,虫伤,褶皱,碰伤,,
Screen Shot 2018-06-08 at 2.30.40 PM.jpg,合格,26.5%,0.019,0.80,HIGH,合格,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.30.57 PM.jpg,虫伤,26.2%,0.008,0.60,HIGH,虫伤,碰伤,裂果,,
vertical_flip_Screen Shot 2018-06-07 at 3.03.21 PM.jpg,腐烂,26.1%,0.041,0.60,HIGH,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.36.23 PM.jpg,虫伤,25.9%,0.017,0.60,HIGH,虫伤,腐烂,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.34.37 PM.jpg,腐烂,25.6%,0.036,0.60,HIGH,腐烂,黑斑,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.52.44 PM.jpg,虫伤,25.6%,0.004,0.60,HIGH,虫伤,褶皱,合格,,
Screen Shot 2018-06-08 at 2.36.31 PM.jpg,腐烂,24.9%,0.021,0.60,HIGH,腐烂,褶皱,虫伤,,
Screen Shot 2018-06-08 at 2.34.37 PM.jpg,褶皱,24.7%,0.004,0.60,HIGH,褶皱,腐烂,黑斑,,
Screen Shot 2018-06-08 at 2.30.57 PM.jpg,碰伤,24.4%,0.009,0.60,HIGH,碰伤,虫伤,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 2.43.26 PM.jpg,虫伤,23.9%,0.070,0.60,HIGH,虫伤,黑斑,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.53.20 PM.jpg,虫伤,23.4%,0.038,0.80,HIGH,虫伤,碰伤,裂果,,
Screen Shot 2018-06-07 at 2.43.26 PM.jpg,黑斑,22.9%,0.011,0.60,HIGH,黑斑,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.34.37 PM.jpg,黑斑,21.4%,0.025,0.80,HIGH,黑斑,腐烂,虫伤,,
Screen Shot 2018-06-07 at 2.51.45 PM.jpg,虫伤,21.1%,0.018,0.80,HIGH,虫伤,褶皱,黑斑,,
vertical_flip_Screen Shot 2018-06-08 at 2.35.37 PM.jpg,虫伤,86.1%,0.771,0.20,MEDIUM,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.37.01 PM.jpg,褶皱,85.9%,0.791,0.20,MEDIUM,褶皱,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.36.21 PM.jpg,褶皱,85.8%,0.762,0.20,MEDIUM,褶皱,腐烂,黑斑,,
Screen Shot 2018-06-07 at 2.47.35 PM.jpg,褶皱,84.7%,0.738,0.20,MEDIUM,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.51.01 PM.jpg,褶皱,84.4%,0.721,0.20,MEDIUM,褶皱,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.19.46 PM.jpg,碰伤,84.4%,0.744,0.20,MEDIUM,碰伤,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.47.35 PM.jpg,褶皱,83.6%,0.731,0.20,MEDIUM,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.43.34 PM.jpg,虫伤,83.4%,0.765,0.20,MEDIUM,虫伤,碰伤,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.24.59 PM.jpg,褶皱,82.8%,0.714,0.20,MEDIUM,褶皱,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.46.44 PM.jpg,碰伤,82.2%,0.733,0.20,MEDIUM,碰伤,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.57.42 PM.jpg,虫伤,81.9%,0.732,0.20,MEDIUM,虫伤,碰伤,腐烂,,
Screen Shot 2018-06-07 at 2.57.42 PM.jpg,虫伤,81.7%,0.742,0.20,MEDIUM,虫伤,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.18.25 PM.jpg,褶皱,81.2%,0.692,0.20,MEDIUM,褶皱,合格,虫伤,,
Screen Shot 2018-06-07 at 2.24.47 PM.jpg,黑斑,81.1%,0.739,0.20,MEDIUM,黑斑,合格,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.43.13 PM.jpg,碰伤,81.0%,0.730,0.20,MEDIUM,碰伤,裂果,黑斑,,
Screen Shot 2018-06-08 at 2.42.22 PM.jpg,褶皱,81.0%,0.651,0.20,MEDIUM,褶皱,腐烂,虫伤,,
Screen Shot 2018-06-08 at 2.26.55 PM.jpg,碰伤,80.3%,0.668,0.20,MEDIUM,碰伤,褶皱,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.24.47 PM.jpg,黑斑,79.9%,0.748,0.20,MEDIUM,黑斑,碰伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.44.05 PM.jpg,虫伤,79.8%,0.611,0.20,MEDIUM,虫伤,裂果,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.42.18 PM.jpg,碰伤,79.5%,0.663,0.20,MEDIUM,碰伤,虫伤,裂果,,
Screen Shot 2018-06-07 at 2.44.26 PM.jpg,碰伤,79.2%,0.640,0.20,MEDIUM,碰伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.06.51 PM.jpg,褶皱,79.2%,0.669,0.20,MEDIUM,褶皱,碰伤,腐烂,,
Screen Shot 2018-06-07 at 3.02.18 PM.jpg,碰伤,79.1%,0.713,0.20,MEDIUM,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-07 at 2.47.50 PM.jpg,褶皱,79.0%,0.672,0.20,MEDIUM,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.42.38 PM.jpg,碰伤,78.8%,0.623,0.20,MEDIUM,碰伤,虫伤,腐烂,,
r1_78.jpg,裂果,78.7%,0.608,0.20,MEDIUM,裂果,褶皱,碰伤,,
Screen Shot 2018-06-07 at 2.24.59 PM.jpg,褶皱,78.6%,0.604,0.20,MEDIUM,褶皱,虫伤,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.30.57 PM.jpg,碰伤,78.1%,0.690,0.20,MEDIUM,碰伤,虫伤,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.23.51 PM.jpg,虫伤,77.8%,0.643,0.20,MEDIUM,虫伤,合格,黑斑,,
Screen Shot 2018-06-08 at 2.50.55 PM.jpg,腐烂,77.6%,0.582,0.20,MEDIUM,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.40.30 PM.jpg,虫伤,77.5%,0.726,0.20,MEDIUM,虫伤,碰伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.42.58 PM.jpg,腐烂,77.2%,0.631,0.20,MEDIUM,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-07 at 3.06.22 PM.jpg,腐烂,77.0%,0.605,0.20,MEDIUM,腐烂,碰伤,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.26.55 PM.jpg,碰伤,76.4%,0.595,0.20,MEDIUM,碰伤,褶皱,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.50.55 PM.jpg,腐烂,76.4%,0.537,0.20,MEDIUM,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.48.00 PM.jpg,褶皱,76.2%,0.630,0.20,MEDIUM,褶皱,合格,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.31.59 PM.jpg,虫伤,75.2%,0.573,0.20,MEDIUM,虫伤,合格,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.59.38 PM.jpg,腐烂,75.0%,0.589,0.20,MEDIUM,腐烂,褶皱,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.31.23 PM.jpg,碰伤,74.9%,0.639,0.20,MEDIUM,碰伤,虫伤,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 3.02.18 PM.jpg,碰伤,74.8%,0.616,0.20,MEDIUM,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.29.55 PM.jpg,腐烂,74.7%,0.585,0.20,MEDIUM,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.35.32 PM.jpg,碰伤,74.6%,0.603,0.20,MEDIUM,碰伤,虫伤,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 3.05.38 PM.jpg,碰伤,74.5%,0.561,0.20,MEDIUM,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.44.05 PM.jpg,虫伤,74.5%,0.542,0.20,MEDIUM,虫伤,裂果,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.31.08 PM.jpg,碰伤,74.5%,0.534,0.20,MEDIUM,碰伤,虫伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.39.02 PM.jpg,腐烂,74.5%,0.597,0.20,MEDIUM,腐烂,褶皱,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.06.06 PM.jpg,腐烂,74.5%,0.647,0.20,MEDIUM,腐烂,碰伤,合格,,
Screen Shot 2018-06-08 at 2.42.38 PM.jpg,碰伤,74.1%,0.575,0.20,MEDIUM,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-08 at 2.40.46 PM.jpg,黑斑,74.1%,0.620,0.20,MEDIUM,黑斑,碰伤,腐烂,,
Screen Shot 2018-06-08 at 2.29.55 PM.jpg,腐烂,74.1%,0.605,0.20,MEDIUM,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.40.30 PM.jpg,虫伤,74.0%,0.685,0.20,MEDIUM,虫伤,碰伤,腐烂,,
Screen Shot 2018-06-07 at 2.24.35 PM.jpg,碰伤,73.5%,0.582,0.20,MEDIUM,碰伤,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.35.10 PM.jpg,碰伤,73.4%,0.499,0.20,MEDIUM,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-07 at 2.34.18 PM.jpg,碰伤,73.1%,0.585,0.20,MEDIUM,碰伤,合格,虫伤,,
Screen Shot 2018-06-07 at 3.06.06 PM.jpg,腐烂,72.9%,0.595,0.20,MEDIUM,腐烂,合格,碰伤,,
Screen Shot 2018-06-07 at 2.52.22 PM.jpg,褶皱,72.5%,0.547,0.20,MEDIUM,褶皱,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.21.09 PM.jpg,褶皱,72.5%,0.640,0.20,MEDIUM,褶皱,黑斑,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.36.55 PM.jpg,腐烂,72.4%,0.622,0.20,MEDIUM,腐烂,碰伤,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 2.47.50 PM.jpg,褶皱,71.7%,0.559,0.20,MEDIUM,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.40.00 PM.jpg,褶皱,71.6%,0.514,0.40,MEDIUM,褶皱,合格,碰伤,,
Screen Shot 2018-06-07 at 2.38.28 PM.jpg,黑斑,71.5%,0.560,0.20,MEDIUM,黑斑,碰伤,合格,,
Screen Shot 2018-06-08 at 2.42.58 PM.jpg,腐烂,71.4%,0.509,0.20,MEDIUM,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.46.36 PM.jpg,碰伤,71.3%,0.566,0.20,MEDIUM,碰伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.06.06 PM.jpg,腐烂,71.2%,0.509,0.20,MEDIUM,腐烂,碰伤,裂果,,
vertical_flip_Screen Shot 2018-06-07 at 2.19.37 PM.jpg,虫伤,71.2%,0.477,0.20,MEDIUM,虫伤,褶皱,合格,,
Screen Shot 2018-06-08 at 2.27.44 PM.jpg,碰伤,71.1%,0.601,0.20,MEDIUM,碰伤,合格,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.47.54 PM.jpg,褶皱,71.0%,0.571,0.20,MEDIUM,褶皱,合格,腐烂,,
Screen Shot 2018-06-07 at 3.06.11 PM.jpg,碰伤,70.4%,0.511,0.20,MEDIUM,碰伤,腐烂,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 2.24.35 PM.jpg,碰伤,70.3%,0.559,0.20,MEDIUM,碰伤,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.24.37 PM.jpg,虫伤,70.3%,0.553,0.20,MEDIUM,虫伤,腐烂,碰伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.38.04 PM.jpg,碰伤,70.2%,0.603,0.20,MEDIUM,碰伤,腐烂,虫伤,,
r1_100_1.jpg,褶皱,70.2%,0.418,0.40,MEDIUM,褶皱,裂果,黑斑,,
rottenapple_435795946_250_碰伤_pred_虫伤.jpg,碰伤,70.0%,0.573,0.20,MEDIUM,碰伤,合格,虫伤,,
Screen Shot 2018-06-07 at 2.20.46 PM.jpg,碰伤,70.0%,0.593,0.20,MEDIUM,碰伤,合格,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.36.21 PM.jpg,褶皱,69.9%,0.535,0.20,MEDIUM,褶皱,腐烂,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 2.50.52 PM.jpg,碰伤,69.8%,0.601,0.00,MEDIUM,碰伤,合格,腐烂,,
Screen Shot 2018-06-07 at 2.56.09 PM.jpg,腐烂,69.8%,0.448,0.20,MEDIUM,腐烂,褶皱,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.29.55 PM.jpg,碰伤,69.8%,0.455,0.20,MEDIUM,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.47.03 PM.jpg,腐烂,69.6%,0.567,0.20,MEDIUM,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.35.38 PM.jpg,褶皱,69.2%,0.576,0.20,MEDIUM,褶皱,腐烂,碰伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.05.53 PM.jpg,碰伤,68.9%,0.564,0.00,MEDIUM,碰伤,合格,腐烂,,
r0_188.jpg,褶皱,68.8%,0.394,0.20,MEDIUM,褶皱,裂果,黑斑,,
r0_188_1.jpg,褶皱,68.8%,0.394,0.20,MEDIUM,褶皱,裂果,黑斑,,
vertical_flip_Screen Shot 2018-06-08 at 2.23.40 PM.jpg,褶皱,68.6%,0.583,0.00,MEDIUM,褶皱,虫伤,合格,,
Screen Shot 2018-06-08 at 2.46.50 PM.jpg,褶皱,68.5%,0.488,0.20,MEDIUM,褶皱,腐烂,虫伤,,
Screen Shot 2018-06-07 at 2.52.09 PM.jpg,腐烂,68.5%,0.495,0.20,MEDIUM,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.03.31 PM.jpg,褶皱,68.4%,0.484,0.20,MEDIUM,褶皱,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.57.17 PM.jpg,碰伤,68.3%,0.474,0.20,MEDIUM,碰伤,合格,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.43.48 PM.jpg,腐烂,68.3%,0.535,0.20,MEDIUM,腐烂,褶皱,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.54.58 PM.jpg,褶皱,68.2%,0.609,0.40,MEDIUM,褶皱,合格,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 3.05.58 PM.jpg,褶皱,68.1%,0.472,0.20,MEDIUM,褶皱,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3_腐烂_pred_褶皱.jpg,褶皱,68.1%,0.472,0.20,MEDIUM,褶皱,碰伤,腐烂,,
Screen Shot 2018-06-08 at 2.36.18 PM.jpg,腐烂,68.0%,0.479,0.20,MEDIUM,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.06.11 PM.jpg,碰伤,68.0%,0.473,0.20,MEDIUM,碰伤,腐烂,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.29.10 PM.jpg,碰伤,67.8%,0.538,0.20,MEDIUM,碰伤,黑斑,裂果,,
vertical_flip_Screen Shot 2018-06-07 at 2.41.23 PM.jpg,碰伤,67.7%,0.558,0.40,MEDIUM,碰伤,褶皱,合格,,
Screen Shot 2018-06-07 at 2.15.34 PM.jpg,碰伤,67.7%,0.607,0.40,MEDIUM,碰伤,虫伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.24.09 PM.jpg,褶皱,67.6%,0.449,0.20,MEDIUM,褶皱,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.20.56 PM.jpg,碰伤,67.6%,0.524,0.20,MEDIUM,碰伤,黑斑,腐烂,,
Screen Shot 2018-06-08 at 2.47.03 PM.jpg,腐烂,67.5%,0.540,0.00,MEDIUM,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.37.03 PM.jpg,虫伤,67.5%,0.568,0.20,MEDIUM,虫伤,碰伤,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.34.18 PM.jpg,碰伤,67.5%,0.520,0.40,MEDIUM,碰伤,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.44.51 PM.jpg,褶皱,67.4%,0.534,0.40,MEDIUM,褶皱,合格,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.19.37 PM.jpg,虫伤,67.2%,0.486,0.20,MEDIUM,虫伤,碰伤,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.35.25 PM.jpg,碰伤,67.1%,0.395,0.40,MEDIUM,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.52.44 PM.jpg,合格,67.0%,0.531,0.00,MEDIUM,合格,黑斑,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.35.25 PM.jpg,碰伤,66.9%,0.375,0.40,MEDIUM,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.23.40 PM.jpg,褶皱,66.5%,0.528,0.20,MEDIUM,褶皱,虫伤,碰伤,,
Screen Shot 2018-06-07 at 3.01.54 PM.jpg,病变,66.4%,0.536,0.00,MEDIUM,病变,腐烂,合格,,
saltandpepper_Screen Shot 2018-06-07 at 3.03.38 PM.jpg,碰伤,66.4%,0.456,0.20,MEDIUM,碰伤,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.02.24 PM.jpg,碰伤,66.1%,0.515,0.00,MEDIUM,碰伤,虫伤,合格,,
Screen Shot 2018-06-08 at 2.28.12 PM.jpg,碰伤,66.1%,0.353,0.40,MEDIUM,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.58.47 PM.jpg,碰伤,66.0%,0.565,0.20,MEDIUM,碰伤,褶皱,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.42.58 PM.jpg,腐烂,66.0%,0.458,0.20,MEDIUM,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-08 at 2.27.15 PM.jpg,褶皱,65.9%,0.464,0.20,MEDIUM,褶皱,合格,虫伤,,
Screen Shot 2018-06-07 at 2.18.13 PM.jpg,褶皱,65.9%,0.476,0.20,MEDIUM,褶皱,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.40.48 PM.jpg,碰伤,65.9%,0.377,0.20,MEDIUM,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-08 at 2.35.37 PM.jpg,虫伤,65.9%,0.377,0.40,MEDIUM,虫伤,碰伤,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.30.31 PM.jpg,碰伤,65.7%,0.515,0.20,MEDIUM,碰伤,虫伤,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 2.18.13 PM.jpg,褶皱,65.3%,0.542,0.00,MEDIUM,褶皱,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.25.17 PM.jpg,褶皱,65.0%,0.487,0.20,MEDIUM,褶皱,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.44.13 PM.jpg,褶皱,65.0%,0.422,0.20,MEDIUM,褶皱,黑斑,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.48.09 PM.jpg,碰伤,64.9%,0.420,0.20,MEDIUM,碰伤,虫伤,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.46.08 PM.jpg,褶皱,64.9%,0.387,0.40,MEDIUM,褶皱,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.35.25 PM.jpg,碰伤,64.9%,0.365,0.40,MEDIUM,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.28.12 PM.jpg,碰伤,64.8%,0.370,0.40,MEDIUM,碰伤,腐烂,裂果,,
